"dataset","variant","strategy","metric","cell_status","cell_status_reason","predecessor_name","n_class1_sites","gmm_G","gmm_modelName","n_bins","n_frames","k_selected","silhouette_mean","metric_status","convergence_first_snp","convergence_first_mut","convergence_first_class1","walltime_s"
"GISAID_US","Lambda","cumulative_1m","hellinger_Tpred","ok",NA,"Alpha",45,7,"V",20,16,3,0.626529852832154,"ok",NA,3,3,11772.1150672436
"GISAID_US","Lambda","disjoint_2m","entropy","ok",NA,"Alpha",45,7,"V",10,6,5,0.377877230403812,"ok",NA,3,NA,3881.95656251907
"GISAID_US","Lambda","disjoint_2m","hellinger_T1","ok",NA,"Alpha",45,7,"V",10,6,2,0.708828429203477,"ok",NA,3,7,3881.95656251907
"GISAID_US","Lambda","disjoint_2m","hellinger_Tpred","ok",NA,"Alpha",45,7,"V",10,6,2,0.696929467746608,"ok",NA,3,5,3881.95656251907
"GISAID_US","Lambda","sliding_2m","entropy","ok",NA,"Alpha",45,7,"V",19,15,5,0.369063445310889,"ok",NA,3,3,21499.2992498875
"GISAID_US","Lambda","sliding_2m","hellinger_T1","ok",NA,"Alpha",45,7,"V",19,15,2,0.661737807396371,"ok",NA,3,3,21499.2992498875
"GISAID_US","Lambda","sliding_2m","hellinger_Tpred","ok",NA,"Alpha",45,7,"V",19,15,2,0.698916319257015,"ok",NA,3,3,21499.2992498875
"GISAID_US","Omicron","cumulative_1m","entropy","ok",NA,"Delta",49,12,"V",20,16,2,0.62235108140955,"ok",3,3,3,9171.5360853672
"GISAID_US","Omicron","cumulative_1m","hellinger_T1","ok",NA,"Delta",49,12,"V",20,16,2,0.740001439792015,"ok",3,3,3,9171.5360853672
"GISAID_US","Omicron","cumulative_1m","hellinger_Tpred","ok",NA,"Delta",49,12,"V",20,16,2,0.777075525654367,"ok",3,3,3,9171.5360853672
"GISAID_US","Omicron","disjoint_2m","entropy","ok",NA,"Delta",49,12,"V",10,6,4,0.300782466369532,"ok",7,7,7,5513.71229696274
"GISAID_US","Omicron","disjoint_2m","hellinger_T1","ok",NA,"Delta",49,12,"V",10,6,4,0.633425269231273,"ok",NA,NA,NA,5513.71229696274
"GISAID_US","Omicron","disjoint_2m","hellinger_Tpred","ok",NA,"Delta",49,12,"V",10,6,4,0.633425269231273,"ok",NA,NA,NA,5513.71229696274
"GISAID_US","Omicron","sliding_2m","entropy","ok",NA,"Delta",49,12,"V",19,15,4,0.348789732836118,"ok",4,4,4,15542.7750952244
"GISAID_US","Omicron","sliding_2m","hellinger_T1","ok",NA,"Delta",49,12,"V",19,15,4,0.613622991401154,"ok",NA,NA,NA,15542.7750952244
"GISAID_US","Omicron","sliding_2m","hellinger_Tpred","ok",NA,"Delta",49,12,"V",19,15,4,0.613622991401154,"ok",NA,NA,NA,15542.7750952244
"GISAID_US","Theta","cumulative_1m","entropy","ok",NA,"Alpha",44,7,"V",20,16,2,0.45515626524186,"ok",NA,3,4,7791.98836278915
"GISAID_US","Theta","cumulative_1m","hellinger_T1","ok",NA,"Alpha",44,7,"V",20,16,4,0.574953512080971,"ok",NA,3,4,7791.98836278915
"GISAID_US","Theta","cumulative_1m","hellinger_Tpred","ok",NA,"Alpha",44,7,"V",20,16,4,0.589316004328673,"ok",NA,3,4,7791.98836278915
"GISAID_US","Theta","disjoint_2m","entropy","ok",NA,"Alpha",44,7,"V",10,6,5,0.401847239097204,"ok",NA,4,6,4117.48967885971
"GISAID_US","Theta","disjoint_2m","hellinger_T1","ok",NA,"Alpha",44,7,"V",10,6,2,0.667709998494719,"ok",NA,3,5,4117.48967885971
"GISAID_US","Theta","disjoint_2m","hellinger_Tpred","ok",NA,"Alpha",44,7,"V",10,6,2,0.671721689223066,"ok",NA,5,5,4117.48967885971
"GISAID_US","Theta","sliding_2m","entropy","ok",NA,"Alpha",44,7,"V",19,15,4,0.370512037105984,"ok",NA,4,4,29242.0989904404
"GISAID_US","Theta","sliding_2m","hellinger_T1","ok",NA,"Alpha",44,7,"V",19,15,2,0.65627483738923,"ok",NA,3,4,29242.0989904404
"GISAID_US","Theta","sliding_2m","hellinger_Tpred","ok",NA,"Alpha",44,7,"V",19,15,2,0.661918250172495,"ok",NA,3,4,29242.0989904404
"GISAID_US","Zeta","cumulative_1m","entropy","underpowered_bin","2 / 19 bins have < 30 seqs (worst = 2).","D614G",40,15,"V",19,0,NA,NA,NA,NA,NA,NA,4.70109033584595
"GISAID_US","Zeta","cumulative_1m","hellinger_T1","underpowered_bin","2 / 19 bins have < 30 seqs (worst = 2).","D614G",40,15,"V",19,0,NA,NA,NA,NA,NA,NA,4.70109033584595
